ticker;name;country;industry;sector;dividend_rate;dividend_yield;EV/revenue;EV/ebitda;negative_EV/revenue;negative_EV/ebitda;ebitda;ebitda_mean;ebitda_std;negative_ebitda;ebit;ebit_mean;ebit_std;negative_ebit;net_income;net_income_mean;net_income_std;negative_net_income;operating_income;operating_income_mean;operating_income_std;negative_operating_income;gross_profit;gross_profit_mean;gross_profit_std;total_revenue;total_revenue_mean;total_revenue_std;gross_margin;gross_margin_mean;gross_margin_std;ebitda_margin;ebitda_margin_mean;ebitda_margin_std;ebit_margin;ebit_margin_mean;ebit_margin_std;net_margin;net_margin_mean;net_margin_std;roa;roa_mean;roa_std;roe;roe_mean;roe_std;assets_net_worth;assets_net_worth_mean;assets_net_worth_std;participation_of_third_party_capital;participation_of_third_party_capital_mean;participation_of_third_party_capital_std;debit_composition;debit_composition_mean;debit_composition_std;net_debt;net_debt_ebitda;net_debt_ebitda_mean;net_debt_ebitda_std;general_liquidity;general_liquidity_mean;general_liquidity_std;current_liquidity;current_liquidity_mean;current_liquidity_std;dry_liquidity;dry_liquidity_mean;dry_liquidity_std
['ALOS3'];['Allos S.A.'];Brazil;Real Estate Services;Real Estate;0.89;4.23;6.53;9.532;0;0.0;2213497000.0;2.2377;3.5996;0.0;1594666000.0;2.8054;4.4507;0.0;698511000.0;6.5007;10.0618;0;1252748000.0;0.4529;0.3404;0.0;2020867000.0;0.561;0.5651;2739848000.0;0.5453;0.6371;0.7376;0.0289;0.046;0.8079;0.5463;1.3334;0.582;0.7657;1.6916;0.2549;2.1946;4.0365;0.0256;2.4563;4.3783;0.0341;2.3066;4.128;1.3335;0.0294;0.0581;0.3247;0.1721;0.2913;0.1691;-0.0083;0.4071;6776676000.0;3.0615;0.6632;1.2815;4.1067;-0.0711;0.205;3.8026;0.0461;0.2931;;;
['ABEV3'];['Ambev S.A.'];Brazil;Beverages - Brewers;Consumer Defensive;0.8;5.64;2.193;7.342;0;0.0;29011900000.0;0.1154;0.0599;0.0;21885500000.0;0.1221;0.0769;0.0;14437200000.0;0.0465;0.0669;0;21506800000.0;0.0789;0.0544;0.0;45837600000.0;0.073;0.044;89452700000.0;0.0721;0.0519;0.5124;0.0016;0.0266;0.3243;0.0405;0.0258;0.2447;0.0462;0.0365;0.1614;-0.0223;0.066;0.0888;0.0006;0.1397;0.0908;0.001;0.1435;1.0217;-0.0005;0.0045;0.0031;0.0053;0.3502;0.3355;-0.0774;0.2009;-25143000000.0;-0.8666;0.1665;0.3841;333.282;0.1085;0.3095;331.0269;0.307;0.3875;259.5733;0.3764;0.5048
['CCRO3'];['CCR S.A.'];Brazil;Infrastructure Operations;Industrials;0.3;2.29;2.52;8.003;0;0.0;6500153000.0;0.1141;0.5274;0.0;4783726000.0;0.4976;1.1428;0.0;1248695000.0;1.3621;2.5344;0;5182223000.0;0.377;0.888;0.0;7335706000.0;0.3468;0.7565;21783791000.0;0.2347;0.244;0.3368;0.0198;0.368;0.2984;-0.1427;0.2315;0.2196;0.0917;0.6328;0.0573;0.6161;1.5426;0.0211;0.9756;2.0495;0.05;0.713;1.6769;2.3673;-0.0583;0.0787;1.3663;-0.0884;0.1212;0.0492;-0.0434;0.722;29944806000.0;4.6068;0.2015;0.4504;1.7326;0.0401;0.0534;6.2259;0.5728;0.7116;;;
['CMIG4'];['Companhia Energética de Minas Gerais - CEMIG'];Brazil;Utilities - Diversified;Utilities;1.21;11.06;1.048;4.43;0;0.0;9152000000.0;0.1618;0.2331;0.0;7878000000.0;0.1822;0.2872;0.0;5764000000.0;0.2697;0.1327;0;6429000000.0;0.2433;0.4612;0.0;8384000000.0;0.1643;0.1071;36850000000.0;0.1424;0.1365;0.2275;0.0255;0.0912;0.2484;0.03;0.2428;0.2138;0.0479;0.2896;0.1564;0.1215;0.1426;0.1048;0.2642;0.1467;0.1288;0.212;0.1318;1.2294;-0.0404;0.0251;0.2198;-0.1682;0.0745;0.2675;0.5343;1.0145;8727000000.0;0.9536;-0.2284;0.1488;5.5945;0.1608;0.0786;4.5129;0.0309;0.5308;;;
['CPLE6'];['Companhia Paranaense de Energia - COPEL'];Brazil;Utilities - Regulated Electric;Utilities;0.4;3.58;2.075;9.088;0;0.0;4449113000.0;0.0908;0.5497;0.0;2983635000.0;0.2915;0.9318;0.0;2809631000.0;0.1666;0.7396;0;3603922000.0;0.3529;0.851;0.0;4891244000.0;0.0491;0.0749;22651036000.0;-0.8135;1.2215;0.2159;-0.6177;0.8004;0.1964;-0.1752;0.8065;0.1317;0.1114;1.0322;0.124;-0.0087;0.8622;0.049;0.0806;0.6531;0.0706;0.1153;0.6711;1.4415;0.0296;0.0133;0.4332;0.1125;0.0455;0.1888;0.0086;0.376;13412726000.0;3.0147;0.5697;0.9951;3.3274;-0.0735;0.0255;4.0051;0.0697;0.3683;3.9632;0.0722;0.3681
['CPFE3'];['CPFL Energia S.A.'];Brazil;Utilities - Regulated Electric;Utilities;3.94;10.09;1.737;5.705;0;0.0;12760631000.0;0.1164;0.0804;0.0;10457507000.0;0.121;0.0865;0.0;5457652000.0;0.0484;0.0433;0;11019455000.0;0.1644;0.122;0.0;13568776000.0;0.1419;0.1161;42628212000.0;0.0287;0.0311;0.3183;0.1142;0.1429;0.2993;0.0882;0.1069;0.2453;0.0928;0.1126;0.128;0.0212;0.0715;0.0708;-0.0043;0.0275;0.119;0.0109;0.024;1.682;0.0158;0.0141;0.682;0.0412;0.0372;0.1728;0.0839;0.365;29300631000.0;2.2962;-0.0166;0.1121;2.4662;-0.0237;0.0215;3.0634;-0.0442;0.2468;3.0224;-0.0462;0.2432
['CYRE3'];['Cyrela Brazil Realty S.A. Empreendimentos e Participações'];Brazil;Residential Construction;Consumer Cyclical;1.07;4.19;1.69;9.875;0;0.0;2615560000.0;0.2725;0.1468;0.0;2564745000.0;0.2789;0.1595;0.0;1648996000.0;0.2666;0.3607;0;1297330000.0;0.261;0.3858;0.0;2579865000.0;0.1606;0.0913;7965688000.0;0.1863;0.0629;0.3239;-0.0225;0.0413;0.3284;0.0694;0.0687;0.322;0.0742;0.0772;0.207;0.0549;0.2433;0.0776;0.0936;0.2833;0.108;0.0962;0.257;1.3914;0.0093;0.027;0.3914;0.0379;0.0998;0.1682;0.0294;0.4084;5442851000.0;2.081;-0.0539;0.2141;3.5552;-0.0212;0.0665;12.0541;0.1365;0.4867;7.3148;0.1551;0.463
['ELET3'];['Centrais Elétricas Brasileiras S.A. - Eletrobrás'];Brazil;Utilities - Renewable;Utilities;1.27;2.92;3.152;7.639;0;0.0;20726022000.0;0.1853;0.434;0.0;16738247000.0;0.2138;0.613;0.0;10378122000.0;0.3921;0.6757;0;12517542000.0;0.0701;0.5193;0.0;34234967000.0;0.0413;0.0575;40181552000.0;0.0519;0.0482;0.852;-0.0105;0.0104;0.5158;0.1146;0.3788;0.4166;0.1375;0.5497;0.2583;0.3039;0.6047;0.0358;0.2717;0.6761;0.049;0.3071;0.7225;1.3697;0.0117;0.0315;0.3688;0.0585;0.1316;0.1953;0.024;0.3155;51663094000.0;2.4927;0.0157;0.4035;3.7138;-0.0332;0.089;4.2284;0.0475;0.2898;4.1995;0.0572;0.2992
['ELET6'];['Centrais Elétricas Brasileiras S.A. - Eletrobrás'];Brazil;Utilities - Renewable;Utilities;3.65;7.73;3.318;8.042;0;0.0;20726022000.0;0.1853;0.434;0.0;16738247000.0;0.2138;0.613;0.0;10378122000.0;0.3921;0.6757;0;12517542000.0;0.0701;0.5193;0.0;34234967000.0;0.0413;0.0575;40181552000.0;0.0519;0.0482;0.852;-0.0105;0.0104;0.5158;0.1146;0.3788;0.4166;0.1375;0.5497;0.2583;0.3039;0.6047;0.0358;0.2717;0.6761;0.049;0.3071;0.7225;1.3697;0.0117;0.0315;0.3688;0.0585;0.1316;0.1953;0.024;0.3155;51663094000.0;2.4927;0.0157;0.4035;3.7138;-0.0332;0.089;4.2284;0.0475;0.2898;4.1995;0.0572;0.2992
['ENGI11'];['Energisa S.A.'];Brazil;Utilities - Regulated Electric;Utilities;2.9;6.37;4.059;16.276;0;0.0;9188823000.0;0.085;0.1043;0.0;7330787000.0;0.0714;0.1076;0.0;3789678000.0;0.2372;0.5405;0;5924287000.0;0.0867;0.041;0.0;7918234000.0;0.1163;0.0275;33070074000.0;0.0803;0.084;0.2394;0.041;0.1001;0.2779;0.0035;0.0422;0.2217;-0.0096;0.0414;0.1146;0.12;0.4106;0.0491;0.0972;0.4732;0.0904;0.099;0.4246;1.8405;0.0188;0.0519;0.8374;0.0462;0.1188;0.18;0.0517;0.251;34348094000.0;3.738;0.0785;0.1582;2.1978;-0.0194;0.0592;2.85;-0.0659;0.2822;2.8282;-0.0653;0.2833
